Sample	Genus	Gene	Contribution
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	948.9149320264072
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	1484.5938572936416
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	1148.808850953041
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	543.4385959873243
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	628.0380091315802
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	309.4872342274066
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	944.1067631283864
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	873.1785453596294
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	1165.5257030817056
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	575.8245085596621
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	443.892096770986
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	795.4873263503348
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	811.6073086870136
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	1267.0456351598364
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	1231.196945054572
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	301.9962298221336
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	481.2264981360229
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	155.52840601363653
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	963.5257328109512
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	901.1806074575492
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	881.9802456651554
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	334.990277570098
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	233.84267747088376
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	465.3244348242925
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	638.0888618882948
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	795.081690929152
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	759.9284431832498
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	387.3564419218089
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	437.4627267401753
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	190.21398340774508
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	671.927061563516
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	655.6267383005494
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	725.289783513653
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	332.1527203143123
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	306.6178327019078
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.11: Phosphopyruvate hydratase	495.2672376524399
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	41.25715062098124
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	54.321333746342354
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	197.6054392450504
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	1008.5597240853616
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	605.8448345841033
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	2266.276836412688
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	90.57112466976444
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	7.275243951835078
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	66.12570631702742
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	843.7804457121201
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	675.3543567915586
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	503.3203150187516
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	965.8433002018566
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	691.4021524036584
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	2403.32797911999
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	4.3832143560700105
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	811.4628469854651
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	583.0471475486548
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	635.4313874931333
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	15.640983403632797
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	1045.7957074310843
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	541.5540046450799
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	2346.4597650131864
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	0.0
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	851.6363784815478
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	582.9873605447858
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.1.2	484.4684174035822
BB190	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	459.3832204162903
BB191	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	803.7202091621814
BB192	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	647.8849455491644
BB195	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	230.36758421105947
BB197	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	380.46150632384473
BB198	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	176.9616685561087
BB200	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	621.140743519429
BB203	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	555.7868338625625
BB204	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	556.1725711272251
BB207	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	290.9363578191967
BB208	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	229.6917467310919
BB209	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	409.4800089947411
BB190	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	422.9821630876016
BB191	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	851.7141070272501
BB192	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	521.2770404267856
BB195	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	348.4572564200076
BB197	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	276.9089930829978
BB198	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	180.69864987694177
BB200	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	442.7150745214786
BB203	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	455.2457374375701
BB204	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	705.8509453994187
BB207	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	360.8021489067791
BB208	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	272.018007621561
BB209	p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.1.2.2	417.2419939770484
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	461.823209143755
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	592.5479475252824
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	554.11042180109
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	296.5761593801139
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	373.3880551911728
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	174.70179927120583
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	617.5914969306044
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	515.7340904569189
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	583.2728358955251
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	345.7651265340615
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	268.2331266529407
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:4.2.1.33: 3-isopropylmalate dehydratase	467.8279088988206
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	456.4830808468949
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	703.4007137657379
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	622.0026474242953
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	338.8245806777977
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	268.4004409131003
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	125.22108544696312
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	611.0141013657418
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	554.0685775041821
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	599.6222945746266
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	246.6969184532556
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	189.2651630297305
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:7.3.2.1	432.339865564677
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	426.5759184856709
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	760.509052889643
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	479.5654890781783
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	196.5033008499323
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	314.27116752047624
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	171.4841516799707
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	627.4117964564997
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	468.38269072626
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	675.2877778963519
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	250.8351358299231
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	192.5286525237193
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.6.5.n1	352.4225763875465
BB190	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	384.38716938320624
BB191	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	666.8319647215234
BB192	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	545.7333304787659
BB195	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	285.388259874626
BB197	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	307.4084161924212
